bhk,area,price_lakh,price_per_sqft,area_per_bhk,region_encoded,type_Independent House,type_Penthouse,type_Studio Apartment,type_Villa,status_Under Construction,age_Resale,age_Unknown,log_price
3,894,186.0,20805.36912751678,298.0,80.99736040543259,False,False,False,False,True,False,False,5.231108616854587
2,668,135.0,20209.580838323353,334.0,80.99736040543259,False,False,False,False,True,False,False,4.912654885736052
1,555,15.5,2792.7927927927926,555.0,36.75380845811216,False,False,False,False,False,True,False,2.803360380906535
1,729,51.0,6995.884773662551,729.0,112.82866240709525,False,False,False,False,False,True,False,3.9512437185814275
2,1020,110.00000000000001,10784.313725490198,510.0,80.99736040543259,False,False,False,False,False,True,False,4.709530201312334
2,1035,114.99999999999999,11111.11111111111,517.5,80.99736040543259,False,False,False,False,False,True,False,4.7535901911063645
2,1070,89.0,8317.757009345794,535.0,80.99736040543259,False,False,False,False,False,True,False,4.499809670330265
2,1070,93.0,8691.58878504673,535.0,80.99736040543259,False,False,False,False,False,True,False,4.543294782270004
2,1050,83.0,7904.761904761905,525.0,80.99736040543259,False,False,False,False,False,True,False,4.430816798843313
2,1050,80.0,7619.047619047619,525.0,80.99736040543259,False,False,False,False,False,True,False,4.394449154672439
2,1021,111.00000000000001,10871.694417238004,510.5,80.99736040543259,False,False,False,False,False,True,False,4.718498871295095
2,1045,79.0,7559.808612440192,522.5,112.82866240709525,False,False,False,False,False,True,False,4.382026634673881
2,1039,80.0,7699.711260827719,519.5,112.82866240709525,False,False,False,False,False,True,False,4.394449154672439
2,1080,113.99999999999999,10555.555555555553,540.0,80.99736040543259,False,False,False,False,False,True,False,4.74493212836325
2,750,73.0,9733.333333333334,375.0,80.99736040543259,False,False,False,False,False,True,False,4.30406509320417
1,650,62.0,9538.461538461539,650.0,80.99736040543259,False,False,False,False,False,True,False,4.143134726391533
2,1050,79.0,7523.809523809524,525.0,80.99736040543259,False,False,False,False,False,True,False,4.382026634673881
2,1050,80.0,7619.047619047619,525.0,80.99736040543259,False,False,False,False,False,False,False,4.394449154672439
2,1020,85.0,8333.333333333334,510.0,80.99736040543259,False,False,False,False,False,True,False,4.454347296253507
2,785,93.0,11847.133757961783,392.5,80.99736040543259,False,False,False,False,False,True,False,4.543294782270004
2,765,91.0,11895.424836601307,382.5,80.99736040543259,False,False,False,False,False,True,False,4.5217885770490405
1,850,114.99999999999999,13529.411764705881,850.0,80.99736040543259,False,False,False,False,False,True,False,4.7535901911063645
2,850,111.00000000000001,13058.823529411768,425.0,80.99736040543259,False,False,False,False,False,True,False,4.718498871295095
1,620,60.0,9677.41935483871,620.0,80.99736040543259,False,False,False,False,False,True,False,4.110873864173311
2,856,118.0,13785.046728971962,428.0,80.99736040543259,False,False,False,False,False,True,False,4.77912349311153
2,750,70.0,9333.333333333334,375.0,80.99736040543259,False,False,False,False,False,True,False,4.2626798770413155
2,768,90.0,11718.75,384.0,80.99736040543259,False,False,False,False,False,True,False,4.51085950651685
2,856,119.0,13901.869158878504,428.0,80.99736040543259,False,False,False,False,False,True,False,4.787491742782046
1,756,73.0,9656.084656084657,756.0,80.99736040543259,False,False,False,False,False,True,False,4.30406509320417
2,850,105.0,12352.941176470587,425.0,80.99736040543259,False,False,False,False,False,True,False,4.663439094112067
1,675,74.0,10962.962962962964,675.0,80.99736040543259,False,False,False,False,False,True,False,4.31748811353631
1,600,33.6,5600.0,600.0,61.913088339764364,False,False,False,False,False,True,False,3.543853682063679
1,520,21.5,4134.615384615385,520.0,126.4613880545538,False,False,False,False,False,True,False,3.1135153092103742
1,685,36.37,5309.48905109489,685.0,54.37652506399312,False,False,False,False,True,True,False,3.6208682434973927
2,870,95.0,10919.540229885057,435.0,80.99736040543259,False,False,False,False,False,True,False,4.564348191467836
3,1665,199.0,11951.951951951953,555.0,80.99736040543259,False,False,False,False,False,True,False,5.298317366548036
2,1050,90.0,8571.42857142857,525.0,80.99736040543259,False,False,False,False,False,True,False,4.51085950651685
1,756,77.0,10185.185185185184,756.0,80.99736040543259,False,False,False,False,False,True,False,4.356708826689592
1,785,76.0,9681.528662420382,785.0,80.99736040543259,False,False,False,False,False,True,False,4.343805421853684
2,860,38.7,4500.000000000001,430.0,38.84665177047768,False,False,False,False,False,True,False,3.681351187693145
1,600,30.0,5000.0,600.0,126.3770527009414,False,False,False,False,False,True,False,3.4339872044851463
1,380,14.0,3684.2105263157896,380.0,38.84665177047768,False,False,True,False,False,True,False,2.70805020110221
1,600,18.0,3000.0,600.0,172.13454306707246,False,False,False,False,True,True,False,2.9444389791664403
2,581,125.0,21514.629948364887,290.5,158.51313721345065,False,False,False,False,True,True,False,4.836281906951478
2,810,118.0,14567.901234567902,405.0,80.99736040543259,False,False,False,False,False,True,False,4.77912349311153
3,1200,185.0,15416.666666666666,400.0,80.99736040543259,False,False,False,False,False,True,False,5.225746673713202
2,856,79.0,9228.971962616823,428.0,80.99736040543259,False,False,False,False,False,True,False,4.382026634673881
2,856,80.0,9345.794392523365,428.0,80.99736040543259,False,False,False,False,False,True,False,4.394449154672439
1,629,55.0,8744.038155802862,629.0,112.82866240709525,False,False,False,False,False,True,False,4.02535169073515
1,620,56.0,9032.258064516129,620.0,112.82866240709525,False,False,False,False,False,True,False,4.04305126783455
2,850,78.0,9176.470588235294,425.0,112.82866240709525,False,False,False,False,False,True,False,4.3694478524670215
2,850,79.0,9294.117647058823,425.0,112.82866240709525,False,False,False,False,False,True,False,4.382026634673881
